Group,Subgroup,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Year,Start_Month
National Estimate,United States,2020-04-23,2020-05-05,23.5,22.7,24.3,22.7 - 24.3,2020,Apr
By Age,18 - 29 years,2020-04-23,2020-05-05,32.7,30.2,35.2,30.2 - 35.2,2020,Apr
By Age,30 - 39 years,2020-04-23,2020-05-05,25.7,24.1,27.3,24.1 - 27.3,2020,Apr
By Age,40 - 49 years,2020-04-23,2020-05-05,24.8,23.3,26.2,23.3 - 26.2,2020,Apr
By Age,50 - 59 years,2020-04-23,2020-05-05,23.2,21.5,25,21.5 - 25.0,2020,Apr
By Age,60 - 69 years,2020-04-23,2020-05-05,18.4,17,19.7,17.0 - 19.7,2020,Apr
By Age,70 - 79 years,2020-04-23,2020-05-05,13.6,11.8,15.5,11.8 - 15.5,2020,Apr
By Age,80 years and above,2020-04-23,2020-05-05,14.4,9,21.4,9.0 - 21.4,2020,Apr
By Sex,Male,2020-04-23,2020-05-05,20.8,19.6,22,19.6 - 22.0,2020,Apr
By Sex,Female,2020-04-23,2020-05-05,26.1,25.2,27.1,25.2 - 27.1,2020,Apr
By Race/Hispanic ethnicity,Hispanic or Latino,2020-04-23,2020-05-05,29.4,26.8,32.1,26.8 - 32.1,2020,Apr
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-04-23,2020-05-05,21.4,20.6,22.1,20.6 - 22.1,2020,Apr
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-04-23,2020-05-05,25.6,23.7,27.5,23.7 - 27.5,2020,Apr
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-04-23,2020-05-05,23.6,20.3,27.1,20.3 - 27.1,2020,Apr
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-04-23,2020-05-05,28.3,24.8,32,24.8 - 32.0,2020,Apr
By Education,Less than a high school diploma,2020-04-23,2020-05-05,32.7,27.8,38,27.8 - 38.0,2020,Apr
By Education,High school diploma or GED,2020-04-23,2020-05-05,25.4,23.9,26.9,23.9 - 26.9,2020,Apr
By Education,Some college/Associate's degree,2020-04-23,2020-05-05,25.6,24.4,26.9,24.4 - 26.9,2020,Apr
By Education,Bachelor's degree or higher,2020-04-23,2020-05-05,17.6,16.8,18.4,16.8 - 18.4,2020,Apr
National Estimate,United States,2020-04-23,2020-05-05,30.8,30,31.7,30.0 - 31.7,2020,Apr
By Age,18 - 29 years,2020-04-23,2020-05-05,40.2,38.1,42.4,38.1 - 42.4,2020,Apr
By Age,30 - 39 years,2020-04-23,2020-05-05,34.4,32.6,36.1,32.6 - 36.1,2020,Apr
By Age,40 - 49 years,2020-04-23,2020-05-05,34.1,32.1,36.2,32.1 - 36.2,2020,Apr
By Age,50 - 59 years,2020-04-23,2020-05-05,31,29,33.1,29.0 - 33.1,2020,Apr
By Age,60 - 69 years,2020-04-23,2020-05-05,24.9,23.6,26.3,23.6 - 26.3,2020,Apr
By Age,70 - 79 years,2020-04-23,2020-05-05,16.4,14.8,18.1,14.8 - 18.1,2020,Apr
By Age,80 years and above,2020-04-23,2020-05-05,14.6,11.5,18.2,11.5 - 18.2,2020,Apr
By Sex,Male,2020-04-23,2020-05-05,26.1,24.7,27.5,24.7 - 27.5,2020,Apr
By Sex,Female,2020-04-23,2020-05-05,35.4,34.5,36.3,34.5 - 36.3,2020,Apr
By Race/Hispanic ethnicity,Hispanic or Latino,2020-04-23,2020-05-05,36.3,33.4,39.2,33.4 - 39.2,2020,Apr
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-04-23,2020-05-05,29,28.2,29.9,28.2 - 29.9,2020,Apr
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-04-23,2020-05-05,32.8,30.3,35.5,30.3 - 35.5,2020,Apr
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-04-23,2020-05-05,26.3,23.6,29.1,23.6 - 29.1,2020,Apr
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-04-23,2020-05-05,38.2,34.3,42.3,34.3 - 42.3,2020,Apr
By Education,Less than a high school diploma,2020-04-23,2020-05-05,37.3,32.4,42.4,32.4 - 42.4,2020,Apr
By Education,High school diploma or GED,2020-04-23,2020-05-05,30.6,29,32.3,29.0 - 32.3,2020,Apr
By Education,Some college/Associate's degree,2020-04-23,2020-05-05,33.5,32,35.1,32.0 - 35.1,2020,Apr
By Education,Bachelor's degree or higher,2020-04-23,2020-05-05,27,26.3,27.8,26.3 - 27.8,2020,Apr
National Estimate,United States,2020-04-23,2020-05-05,35.9,35,36.8,35.0 - 36.8,2020,Apr
By Age,18 - 29 years,2020-04-23,2020-05-05,46.8,44.3,49.3,44.3 - 49.3,2020,Apr
By Age,30 - 39 years,2020-04-23,2020-05-05,39.6,37.7,41.5,37.7 - 41.5,2020,Apr
By Age,40 - 49 years,2020-04-23,2020-05-05,38.9,37.2,40.7,37.2 - 40.7,2020,Apr
By Age,50 - 59 years,2020-04-23,2020-05-05,35.8,34,37.7,34.0 - 37.7,2020,Apr
By Age,60 - 69 years,2020-04-23,2020-05-05,28.9,27.6,30.3,27.6 - 30.3,2020,Apr
By Age,70 - 79 years,2020-04-23,2020-05-05,21.5,19.3,23.7,19.3 - 23.7,2020,Apr
By Age,80 years and above,2020-04-23,2020-05-05,21.1,15.6,27.5,15.6 - 27.5,2020,Apr
By Sex,Male,2020-04-23,2020-05-05,31,29.6,32.3,29.6 - 32.3,2020,Apr
By Sex,Female,2020-04-23,2020-05-05,40.7,39.7,41.6,39.7 - 41.6,2020,Apr
By Race/Hispanic ethnicity,Hispanic or Latino,2020-04-23,2020-05-05,42.7,39.7,45.7,39.7 - 45.7,2020,Apr
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-04-23,2020-05-05,33.6,32.7,34.4,32.7 - 34.4,2020,Apr
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-04-23,2020-05-05,38.9,36.4,41.4,36.4 - 41.4,2020,Apr
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-04-23,2020-05-05,31.9,28.5,35.4,28.5 - 35.4,2020,Apr
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-04-23,2020-05-05,43.9,39.8,48.1,39.8 - 48.1,2020,Apr
By Education,Less than a high school diploma,2020-04-23,2020-05-05,45.4,40.3,50.5,40.3 - 50.5,2020,Apr
By Education,High school diploma or GED,2020-04-23,2020-05-05,36.7,35.2,38.2,35.2 - 38.2,2020,Apr
By Education,Some college/Associate's degree,2020-04-23,2020-05-05,38.5,36.9,40,36.9 - 40.0,2020,Apr
By Education,Bachelor's degree or higher,2020-04-23,2020-05-05,30.7,29.8,31.5,29.8 - 31.5,2020,Apr
National Estimate,United States,2020-05-07,2020-05-12,24.1,23,25.2,23.0 - 25.2,2020,May
By Age,18 - 29 years,2020-05-07,2020-05-12,36.2,32.2,40.2,32.2 - 40.2,2020,May
By Age,30 - 39 years,2020-05-07,2020-05-12,27.7,25.7,29.8,25.7 - 29.8,2020,May
By Age,40 - 49 years,2020-05-07,2020-05-12,25.5,23.1,28,23.1 - 28.0,2020,May
By Age,50 - 59 years,2020-05-07,2020-05-12,24.1,22,26.2,22.0 - 26.2,2020,May
By Age,60 - 69 years,2020-05-07,2020-05-12,17.6,15.7,19.6,15.7 - 19.6,2020,May
By Age,70 - 79 years,2020-05-07,2020-05-12,12.2,10.4,14.2,10.4 - 14.2,2020,May
By Age,80 years and above,2020-05-07,2020-05-12,9.1,6.9,11.6,6.9 - 11.6,2020,May
By Sex,Male,2020-05-07,2020-05-12,22.3,20.6,24,20.6 - 24.0,2020,May
By Sex,Female,2020-05-07,2020-05-12,25.8,24.7,27,24.7 - 27.0,2020,May
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-07,2020-05-12,27.9,24.4,31.6,24.4 - 31.6,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-07,2020-05-12,22.5,21.6,23.4,21.6 - 23.4,2020,May
