State,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Year,Start_Month
Alabama,2020-04-23,2020-05-05,18.6,14.6,23.1,14.6 - 23.1,2020,Apr
Alaska,2020-04-23,2020-05-05,19.2,16.8,21.8,16.8 - 21.8,2020,Apr
Arizona,2020-04-23,2020-05-05,22.4,19.4,25.5,19.4 - 25.5,2020,Apr
Arkansas,2020-04-23,2020-05-05,26.6,22.3,31.3,22.3 - 31.3,2020,Apr
California,2020-04-23,2020-05-05,25.4,22.5,28.6,22.5 - 28.6,2020,Apr
Colorado,2020-04-23,2020-05-05,22,19.4,24.9,19.4 - 24.9,2020,Apr
Connecticut,2020-04-23,2020-05-05,24.4,20.1,29.1,20.1 - 29.1,2020,Apr
Delaware,2020-04-23,2020-05-05,21.1,17.6,24.9,17.6 - 24.9,2020,Apr
District of Columbia,2020-04-23,2020-05-05,26.4,22.1,31.1,22.1 - 31.1,2020,Apr
Florida,2020-04-23,2020-05-05,22.5,19.7,25.4,19.7 - 25.4,2020,Apr
Georgia,2020-04-23,2020-05-05,25.6,21.4,30.2,21.4 - 30.2,2020,Apr
Hawaii,2020-04-23,2020-05-05,20,14.9,26.1,14.9 - 26.1,2020,Apr
Idaho,2020-04-23,2020-05-05,20.6,17.3,24.1,17.3 - 24.1,2020,Apr
Illinois,2020-04-23,2020-05-05,23.3,19.6,27.2,19.6 - 27.2,2020,Apr
Indiana,2020-04-23,2020-05-05,26.4,22.1,31,22.1 - 31.0,2020,Apr
Iowa,2020-04-23,2020-05-05,16.5,13.7,19.6,13.7 - 19.6,2020,Apr
Kansas,2020-04-23,2020-05-05,22.1,18.3,26.4,18.3 - 26.4,2020,Apr
Kentucky,2020-04-23,2020-05-05,23.2,19.4,27.4,19.4 - 27.4,2020,Apr
Louisiana,2020-04-23,2020-05-05,28.1,24.1,32.4,24.1 - 32.4,2020,Apr
Maine,2020-04-23,2020-05-05,19.5,16,23.5,16.0 - 23.5,2020,Apr
Maryland,2020-04-23,2020-05-05,20.9,17.9,24.1,17.9 - 24.1,2020,Apr
Massachusetts,2020-04-23,2020-05-05,25.9,22.7,29.4,22.7 - 29.4,2020,Apr
Michigan,2020-04-23,2020-05-05,25.5,22,29.4,22.0 - 29.4,2020,Apr
Minnesota,2020-04-23,2020-05-05,20.4,17.7,23.4,17.7 - 23.4,2020,Apr
Mississippi,2020-04-23,2020-05-05,22.9,18.7,27.6,18.7 - 27.6,2020,Apr
Missouri,2020-04-23,2020-05-05,21,17.9,24.5,17.9 - 24.5,2020,Apr
Montana,2020-04-23,2020-05-05,18.2,14.9,21.8,14.9 - 21.8,2020,Apr
Nebraska,2020-04-23,2020-05-05,19.1,15.3,23.3,15.3 - 23.3,2020,Apr
Nevada,2020-04-23,2020-05-05,23.6,19.1,28.7,19.1 - 28.7,2020,Apr
New Hampshire,2020-04-23,2020-05-05,19.5,16.5,22.7,16.5 - 22.7,2020,Apr
New Jersey,2020-04-23,2020-05-05,23.6,20.4,27,20.4 - 27.0,2020,Apr
New Mexico,2020-04-23,2020-05-05,22.4,18.3,26.9,18.3 - 26.9,2020,Apr
New York,2020-04-23,2020-05-05,28.7,24.6,33.1,24.6 - 33.1,2020,Apr
North Carolina,2020-04-23,2020-05-05,21.1,17.1,25.6,17.1 - 25.6,2020,Apr
North Dakota,2020-04-23,2020-05-05,17,13.7,20.7,13.7 - 20.7,2020,Apr
Ohio,2020-04-23,2020-05-05,21.2,18.2,24.5,18.2 - 24.5,2020,Apr
Oklahoma,2020-04-23,2020-05-05,20.8,16.4,25.7,16.4 - 25.7,2020,Apr
Oregon,2020-04-23,2020-05-05,22.5,19.7,25.4,19.7 - 25.4,2020,Apr
Pennsylvania,2020-04-23,2020-05-05,24.7,21.6,28.1,21.6 - 28.1,2020,Apr
Rhode Island,2020-04-23,2020-05-05,24.5,19.9,29.7,19.9 - 29.7,2020,Apr
South Carolina,2020-04-23,2020-05-05,21.6,17.9,25.7,17.9 - 25.7,2020,Apr
South Dakota,2020-04-23,2020-05-05,17.5,13,22.7,13.0 - 22.7,2020,Apr
Tennessee,2020-04-23,2020-05-05,22.2,17.2,27.8,17.2 - 27.8,2020,Apr
Texas,2020-04-23,2020-05-05,24.4,21.1,27.9,21.1 - 27.9,2020,Apr
Utah,2020-04-23,2020-05-05,22.9,20,26,20.0 - 26.0,2020,Apr
Vermont,2020-04-23,2020-05-05,20.7,15.9,26.3,15.9 - 26.3,2020,Apr
Virginia,2020-04-23,2020-05-05,21.5,18,25.3,18.0 - 25.3,2020,Apr
Washington,2020-04-23,2020-05-05,22.1,19.7,24.7,19.7 - 24.7,2020,Apr
West Virginia,2020-04-23,2020-05-05,23.4,19.5,27.6,19.5 - 27.6,2020,Apr
Wisconsin,2020-04-23,2020-05-05,22,19.2,25,19.2 - 25.0,2020,Apr
Wyoming,2020-04-23,2020-05-05,18.9,15.3,22.9,15.3 - 22.9,2020,Apr
Alabama,2020-04-23,2020-05-05,25.6,20.7,30.9,20.7 - 30.9,2020,Apr
Alaska,2020-04-23,2020-05-05,27.7,24.8,30.7,24.8 - 30.7,2020,Apr
Arizona,2020-04-23,2020-05-05,32.3,28,36.8,28.0 - 36.8,2020,Apr
Arkansas,2020-04-23,2020-05-05,33.7,28.2,39.6,28.2 - 39.6,2020,Apr
California,2020-04-23,2020-05-05,30.8,28.2,33.5,28.2 - 33.5,2020,Apr
Colorado,2020-04-23,2020-05-05,32.6,29.2,36.2,29.2 - 36.2,2020,Apr
Connecticut,2020-04-23,2020-05-05,34.9,30,40,30.0 - 40.0,2020,Apr
Delaware,2020-04-23,2020-05-05,29.9,25.5,34.6,25.5 - 34.6,2020,Apr
District of Columbia,2020-04-23,2020-05-05,31.4,27.9,35.1,27.9 - 35.1,2020,Apr
Florida,2020-04-23,2020-05-05,32.6,29.7,35.6,29.7 - 35.6,2020,Apr
Georgia,2020-04-23,2020-05-05,31.9,28.1,35.9,28.1 - 35.9,2020,Apr
Hawaii,2020-04-23,2020-05-05,32.3,27.1,37.8,27.1 - 37.8,2020,Apr
Idaho,2020-04-23,2020-05-05,26.9,23.7,30.2,23.7 - 30.2,2020,Apr
Illinois,2020-04-23,2020-05-05,31.1,27,35.4,27.0 - 35.4,2020,Apr
Indiana,2020-04-23,2020-05-05,31.8,27.5,36.4,27.5 - 36.4,2020,Apr
Iowa,2020-04-23,2020-05-05,22.5,19,26.2,19.0 - 26.2,2020,Apr
Kansas,2020-04-23,2020-05-05,26.4,22,31.2,22.0 - 31.2,2020,Apr
Kentucky,2020-04-23,2020-05-05,31.6,28.1,35.3,28.1 - 35.3,2020,Apr
Louisiana,2020-04-23,2020-05-05,34.4,29.7,39.3,29.7 - 39.3,2020,Apr
Maine,2020-04-23,2020-05-05,29.5,25.9,33.3,25.9 - 33.3,2020,Apr
Maryland,2020-04-23,2020-05-05,27.7,24.6,31.1,24.6 - 31.1,2020,Apr
Massachusetts,2020-04-23,2020-05-05,37,33.3,40.7,33.3 - 40.7,2020,Apr
Michigan,2020-04-23,2020-05-05,32.5,28.6,36.7,28.6 - 36.7,2020,Apr
Minnesota,2020-04-23,2020-05-05,28.5,25.2,32,25.2 - 32.0,2020,Apr
Mississippi,2020-04-23,2020-05-05,30.3,24.7,36.3,24.7 - 36.3,2020,Apr
Missouri,2020-04-23,2020-05-05,30.4,25.8,35.4,25.8 - 35.4,2020,Apr
Montana,2020-04-23,2020-05-05,22.8,19.6,26.3,19.6 - 26.3,2020,Apr
Nebraska,2020-04-23,2020-05-05,24.2,20.6,28,20.6 - 28.0,2020,Apr
Nevada,2020-04-23,2020-05-05,31.4,27.3,35.7,27.3 - 35.7,2020,Apr
New Hampshire,2020-04-23,2020-05-05,31.3,27.1,35.7,27.1 - 35.7,2020,Apr
New Jersey,2020-04-23,2020-05-05,31.4,28.2,34.7,28.2 - 34.7,2020,Apr
New Mexico,2020-04-23,2020-05-05,27.9,23.9,32.2,23.9 - 32.2,2020,Apr
New York,2020-04-23,2020-05-05,36.1,32.1,40.2,32.1 - 40.2,2020,Apr
North Carolina,2020-04-23,2020-05-05,30,25.1,35.3,25.1 - 35.3,2020,Apr
North Dakota,2020-04-23,2020-05-05,21.7,18.3,25.5,18.3 - 25.5,2020,Apr
Ohio,2020-04-23,2020-05-05,31.1,27.4,35.1,27.4 - 35.1,2020,Apr
Oklahoma,2020-04-23,2020-05-05,28.6,24.9,32.4,24.9 - 32.4,2020,Apr
Oregon,2020-04-23,2020-05-05,31.5,28,35.1,28.0 - 35.1,2020,Apr
Pennsylvania,2020-04-23,2020-05-05,31,27.5,34.7,27.5 - 34.7,2020,Apr
